,한글글자,Count
0,가,"모든 글자: 34,240개"
1,각,"모든 글자: 7,687개"
2,간,"모든 글자: 13,128개"
3,갇,모든 글자: 22개
4,갈,"모든 글자: 3,679개"
5,갉,모든 글자: 32개
6,갊,모든 글자: 5개
7,감,"모든 글자: 9,238개"
8,갑,"모든 글자: 1,622개"
9,값,모든 글자: 872개
10,갓,모든 글자: 502개
11,갔,모든 글자: 0개
12,강,"모든 글자: 7,444개"
13,갖,모든 글자: 114개
14,갗,모든 글자: 12개
15,같,모든 글자: 733개
16,갚,모든 글자: 31개
17,갛,모든 글자: 0개
18,개,"모든 글자: 14,538개"
19,객,"모든 글자: 1,371개"
20,갠,모든 글자: 79개
21,갤,모든 글자: 117개
22,갬,모든 글자: 41개
23,갭,모든 글자: 120개
24,갯,모든 글자: 419개
25,갰,모든 글자: 0개
26,갱,모든 글자: 907개
27,갸,모든 글자: 105개
28,갹,모든 글자: 15개
29,갼,모든 글자: 0개
30,걀,모든 글자: 127개
31,걋,모든 글자: 2개
32,걍,모든 글자: 7개
33,걔,모든 글자: 11개
34,걘,모든 글자: 1개
35,걜,모든 글자: 0개
36,거,"모든 글자: 15,318개"
37,걱,모든 글자: 353개
38,건,"모든 글자: 5,878개"
39,걷,모든 글자: 184개
40,걸,"모든 글자: 1,933개"
41,걺,모든 글자: 0개
42,검,"모든 글자: 5,145개"
43,겁,모든 글자: 526개
44,것,모든 글자: 637개
45,겄,모든 글자: 1개
46,겅,모든 글자: 349개
47,겆,모든 글자: 0개
48,겉,모든 글자: 624개
49,겊,모든 글자: 16개
50,겋,모든 글자: 0개
51,게,"모든 글자: 4,252개"
52,겐,모든 글자: 465개
53,겔,모든 글자: 229개
54,겜,모든 글자: 37개
55,겝,모든 글자: 14개
